City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,28.07,76,25,3.46,MV,1690068974
1,mehendiganj,22.8167,90.5333,28.03,87,89,3.67,BD,1690068974
2,cabo san lucas,22.8909,-109.9124,37.01,55,0,3.6,MX,1690068939
3,codrington,-38.2667,141.9667,10.73,64,75,3.54,AU,1690068976
4,port-aux-francais,-49.35,70.2167,3.67,73,75,11.88,TF,1690068977
5,sweetwater,25.7634,-80.3731,34.0,62,75,4.12,US,1690068720
6,hermanus,-34.4187,19.2345,9.89,83,100,3.54,ZA,1690068977
7,west island,-12.1568,96.8225,24.99,83,75,5.66,CC,1690068978
8,iqaluit,63.7506,-68.5145,7.85,81,75,1.03,CA,1690068978
9,waitangi,-43.9535,-176.5597,11.57,96,100,2.68,NZ,1690068979
10,port elizabeth,-33.918,25.5701,11.16,82,0,3.09,ZA,1690068980
11,pyoksong-up,38.0475,125.5567,25.96,91,99,3.63,KP,1690068981
12,vadso,70.0744,29.7487,8.49,93,75,5.66,NO,1690068981
13,puerto natales,-51.7236,-72.4875,-6.41,96,23,1.28,CL,1690068693
14,hadibu,12.65,54.0333,25.14,81,100,12.0,YE,1690068982
15,ust-nera,64.5667,143.2,15.84,66,69,1.79,RU,1690068983
16,kavieng,-2.5744,150.7967,28.32,79,97,4.57,PG,1690068706
17,adamstown,-25.066,-130.1015,20.63,67,30,6.66,PN,1690068984
18,yellowknife,62.456,-114.3525,21.98,37,100,4.47,CA,1690068947
19,gevrai,19.2667,75.75,23.82,86,100,5.65,IN,1690068985
20,margate,51.3813,1.3862,15.49,87,100,7.15,GB,1690068986
21,polyarnyy,69.1989,33.4478,9.4,77,100,6.57,RU,1690068986
22,la ronge,55.1001,-105.2842,21.14,52,40,3.09,CA,1690068987
23,lerwick,60.1545,-1.1494,13.0,85,14,6.07,GB,1690068987
24,mosjoen,65.836,13.1908,13.29,82,100,0.0,NO,1690068988
25,kirensk,57.7853,108.1119,21.54,61,13,0.35,RU,1690068989
26,bilibino,68.0546,166.4372,24.78,45,74,4.35,RU,1690068698
27,bredasdorp,-34.5322,20.0403,10.77,92,100,2.51,ZA,1690068990
28,port mathurin,-19.6833,63.4167,22.81,70,5,9.73,MU,1690068990
29,puerto deseado,-47.7503,-65.8938,2.27,70,89,6.05,AR,1690068991
30,grytviken,-54.2811,-36.5092,-6.86,68,39,4.24,GS,1690068992
31,puerto ayora,-0.7393,-90.3518,24.65,78,51,5.51,EC,1690068992
32,margaret river,-33.95,115.0667,11.69,85,16,3.97,AU,1690068993
33,zelenogradsk,54.9589,20.4767,12.03,94,20,3.0,RU,1690068993
34,el charco,2.4769,-78.1105,25.43,92,38,1.26,CO,1690068994
35,mar del plata,-38.0023,-57.5575,11.72,91,100,4.92,AR,1690068988
36,mugia,43.1041,-9.2179,16.06,77,97,2.35,ES,1690068995
37,anadyr,64.75,177.4833,15.28,77,75,5.0,RU,1690068996
38,bako,5.7833,36.5667,17.64,73,78,2.2,ET,1690068997
39,port shepstone,-30.7414,30.455,17.42,45,9,3.49,ZA,1690068997
40,college,64.8569,-147.8028,28.97,33,75,2.24,US,1690068998
41,malvan,16.0667,73.4667,26.5,88,100,10.21,IN,1690068998
42,edinburgh of the seven seas,-37.0676,-12.3116,12.59,68,48,6.72,SH,1690068999
43,arraial do cabo,-22.9661,-42.0278,18.98,94,75,3.09,BR,1690068999
44,blackmans bay,-43.0167,147.3167,9.74,87,56,1.47,AU,1690069000
45,weno,7.4515,151.8468,29.97,79,100,1.54,FM,1690068702
46,maiduguri,11.8464,13.1603,28.66,60,77,2.18,NG,1690069001
47,sittwe,20.15,92.9,27.5,87,68,4.25,MM,1690069002
48,saint-paul,-21.0096,55.2707,21.05,87,73,0.89,RE,1690069002
49,maraba,-5.3686,-49.1178,24.1,69,0,0.0,BR,1690069003
50,ilulissat,69.2167,-51.1,8.01,93,75,1.54,GL,1690069004
51,hoemul-li,41.4339,129.67,20.25,97,100,1.32,KP,1690069004
52,suntar,62.1444,117.6319,23.4,58,82,1.76,RU,1690069005
53,badger,64.8,-147.5333,28.93,30,0,1.34,US,1690069005
54,sen monorom,12.45,107.2,21.07,95,92,1.94,KH,1690069006
55,nea kallikrateia,40.3167,23.0667,30.36,60,0,2.66,GR,1690069007
56,rahimah,26.7079,50.0619,32.12,42,9,6.07,SA,1690069007
57,aasiaat,68.7098,-52.8699,3.71,98,100,3.73,GL,1690069008
58,morondava,-20.2833,44.2833,19.91,80,0,1.62,MG,1690069009
59,kapuskasing,49.4169,-82.4331,24.05,43,40,2.57,CA,1690068714
60,adam,22.3756,57.5233,31.75,47,100,2.66,OM,1690069010
61,okhotsk,59.3833,143.3,17.69,77,80,2.17,RU,1690069011
62,as salamiyah,35.0113,37.0532,25.07,50,0,3.56,SY,1690069011
63,mont-laurier,46.5501,-75.4993,23.79,73,27,1.52,CA,1690069012
64,enewetak,11.3474,162.3373,28.59,76,86,7.5,MH,1690069012
65,klaksvik,62.2266,-6.589,11.51,89,36,5.98,FO,1690069013
66,kabalo,-6.05,26.9167,24.17,34,5,1.36,CD,1690069014
67,hailin,44.5833,129.4167,18.91,96,100,1.66,CN,1690069014
68,brookings,44.3114,-96.7984,28.39,54,15,2.58,US,1690068804
69,bodo,67.28,14.405,13.21,97,75,2.06,NO,1690069015
70,khash,28.2211,61.2158,25.93,31,100,1.7,IR,1690069016
71,tapolca,46.8815,17.4412,18.69,87,77,1.2,HU,1690069017
72,fortuna,40.5982,-124.1573,19.81,70,20,6.69,US,1690069018
73,ungsang-nodongjagu,42.3578,130.4622,20.27,99,99,2.52,KP,1690069019
74,kodiak,57.79,-152.4072,11.73,82,20,3.09,US,1690069019
75,guerrero negro,27.9769,-114.0611,23.54,62,13,6.96,MX,1690069020
76,lewistown,40.5992,-77.5714,27.41,50,0,2.06,US,1690069020
77,tiksi,71.6872,128.8694,8.68,65,30,4.47,RU,1690069021
78,saipan,15.1355,145.701,29.8,100,75,4.12,MP,1690069022
79,howrah,22.5892,88.3103,27.0,100,75,2.06,IN,1690069022
80,utrik,11.2278,169.8474,28.23,74,37,7.87,MH,1690069023
81,san patricio,28.017,-97.5169,37.4,45,5,7.17,US,1690069024
82,bethel,41.3712,-73.414,27.47,62,0,1.54,US,1690068734
83,dudinka,69.4058,86.1778,15.57,91,62,5.06,RU,1690069025
84,selkirk,50.1436,-96.8845,27.04,57,51,5.48,CA,1690068974
85,ushuaia,-54.8,-68.3,-1.19,80,40,5.14,AR,1690069026
86,tocopilla,-22.092,-70.1979,17.94,78,49,7.19,CL,1690068731
87,papatowai,-46.5619,169.4708,8.95,93,100,3.66,NZ,1690069027
88,tazovsky,67.4667,78.7,14.46,94,73,2.4,RU,1690069028
89,medicine hat,50.0501,-110.6683,35.24,18,20,5.66,CA,1690069029
90,thompson,55.7435,-97.8558,17.09,48,75,5.14,CA,1690069029
91,yanaul,56.2719,54.9309,10.75,92,27,3.1,RU,1690069030
92,bechar,31.6167,-2.2167,34.18,10,0,2.57,DZ,1690069030
93,shalqar,47.8333,59.6,26.15,35,44,2.42,KZ,1690069031
94,taltal,-25.4,-70.4833,17.89,71,49,1.96,CL,1690069032
95,tomatlan,19.9333,-105.25,29.1,72,46,0.85,MX,1690069034
96,bikenibeu village,1.3673,173.1241,28.98,84,40,1.54,KI,1690069034
97,adre,13.4667,22.2,23.97,67,95,5.35,TD,1690069035
98,roma,43.2128,-75.4557,26.01,52,0,4.12,US,1690068773
99,wailua homesteads,22.0669,-159.378,28.44,79,40,6.17,US,1690069036
100,ribeira grande,38.5167,-28.7,20.43,84,19,2.68,PT,1690069037
101,isafjordur,66.0755,-23.124,10.83,84,100,0.57,IS,1690069037
102,avarua,-21.2078,-159.775,23.03,94,100,6.69,CK,1690069038
103,bardai,11.65,7.2333,22.65,86,98,1.81,NG,1690069039
104,udachny,66.4167,112.4,23.03,46,5,7.59,RU,1690069039
105,palmer,42.1584,-72.3287,26.78,59,20,2.06,US,1690069040
106,afaahiti,-17.75,-149.2833,26.93,65,65,3.71,PF,1690069040
107,quellon,-43.1167,-73.6167,3.14,93,0,1.54,CL,1690069041
108,lianjiang,21.6467,110.2817,26.94,83,13,1.62,CN,1690069042
109,port macquarie,-31.4333,152.9167,16.61,68,98,3.89,AU,1690069042
110,talcahuano,-36.7167,-73.1167,11.82,82,20,1.54,CL,1690069043
111,punta arenas,-53.15,-70.9167,-0.91,80,31,4.71,CL,1690069042
112,invercargill,-46.4,168.35,7.87,92,100,2.11,NZ,1690069044
113,dunedin,-45.8742,170.5036,11.71,93,100,1.34,NZ,1690069045
114,crane,31.3974,-102.3501,35.52,25,100,5.16,US,1690069045
115,touros,-5.1989,-35.4608,24.51,82,6,6.01,BR,1690069046
116,castillos,-34.1667,-53.8333,22.01,70,100,6.17,UY,1690069047
117,preobrazheniye,42.9019,133.9064,20.75,85,99,2.22,RU,1690069047
118,albany,42.6001,-73.9662,26.23,65,3,3.04,US,1690069048
119,sitka,57.0531,-135.33,16.94,77,100,0.0,US,1690069048
